ADDRESS,NEAREST_SCH_DIST
"1 Crowley Vista, Salter Point",0.8250744707544544
"1 Curruthers Road, Mount Pleasant",1.335488696225683
"1 Cypress Mews, Warnbro",1.3622448756117536
"1 Dagostino Road, Byford",0.9236522735311185
"1 Dalkey Way, Darch",0.3082940723333923
"1 Danzil Street, Willagee",1.0008772383254252
"1 Datchet Turn, Bertram",1.862233999784348
"1 David Street, Mullaloo",1.909756021244471
"1 Davis Court, Woodlands",1.4077351107615041
"1 Daybreak Loop, Wellard",1.8344178642145368
"1 Dean Place, Lockridge",0.9659138534719108
"1 Dean Road, Bateman",1.1916408863162802
"1 Delphi Court, Rossmoyne",1.246711777080163
"1 Denton Street, Wembley",1.8956452613918149
"1 Dermer Road, Beaconsfield",0.4478662989059305
"1 Deverell Way, Bentley",1.0261506367266038
"1 Dilkera Place, Quinns Rocks",0.8689656216467839
"1 Dirk Hartog Road, Bull Creek",1.3609387232194925
"1 Discovery Circuit, Iluka",2.004713284863781
"1 Disney Street, Brentwood",1.6381013286764965
"1 Dolomite Road, Carine",0.4801233338355535
"1 Dolphin Way, Beldon",0.6677235223517203
"1 Doradeen Close, Hillman",1.2093193671897242
"1 Doram Court, Swan View",1.4037634181891845
"1 Driftwood Way, Bennett Springs",2.59456066883142
"1 Driver Road, Darch",0.7195305813430949
"1 Dunbar Road, Claremont",1.0430209501072545
"1 Durant Way, Brentwood",1.5420481546059277
"1 Dutton Way, Singleton",3.0055114968358936
"1 Duxford Street, Butler",0.8901644386596161
"1 East Street, Mount Hawthorn",0.6572481039968868
"1 Eastfield Court, Ferndale",1.5711536476349452
"1 Easton Court, Boya",2.0913038430418958
"1 Edelweiss Way, Beckenham",1.98784123172784
"1 Edgecombe Pass, Aveley",0.3402891575356141
"1 El Porto Way, Iluka",2.8119322883552083
"1 Elfin Grove, Warnbro",0.7674817174207745
"1 Elvire Street, Midland",0.8824765111293752
"1 Empress Crescent, Atwell",1.668099473116731
"1 Epping Court, High Wycombe",4.567599087956439
"1 Ericht Pass, Kinross",3.1936569444535032
"1 Estevan Way, Ferndale",0.8624621848625819
"1 Ethel Street, Guildford",1.585287253108679
"1 Etna Place, Rossmoyne",1.1586690823274857
"1 Eudora Way, North Coogee",2.7724699981086705
"1 Fairetha Court, Ascot",1.6404497031616243
"1 Fairhaven Terrace, Hillarys",0.9960874930925764
"1 Fallow Crescent, Spearwood",3.5247258188858805
"1 Fantail Drive, Bibra Lake",1.6751102830693831
"1 Farrington Street, Warnbro",0.9712676910505369
"1 Federal Street, Osborne Park",0.8803877559786919
"1 Felpham Court, Success",1.0042534402617076
"1 Ficarra Way, Sinagra",2.339293137668597
"1 First Avenue, Woodbridge",0.3966067018408369
"1 Fischer Road, Darlington",1.01788587865268
"1 Flemington Way, Redcliffe",1.9329278995923345
"1 Flint Close, Pearsall",0.8828001504020482
"1 Florey Place, Huntingdale",0.8956053692480858
"1 Floribunda Gate, Dayton",3.6364575944032933
"1 Forrest Court, Kiara",0.9794607508034756
"1 Fort Street, Morley",0.3917012664671572
"1 Fortuna View, Iluka",2.2247264469982344
"1 Fortune Street, Balcatta",1.5724517959293425
