ADDRESS,BUILD_YEAR
"1 Estevan Way, Ferndale",1975.0
"1 Ethel Street, Guildford",1900.0
"1 Etna Place, Rossmoyne",2009.0
"1 Eudora Way, North Coogee",2009.0
"1 Fairetha Court, Ascot",1997.0
"1 Fairhaven Terrace, Hillarys",2003.0
"1 Fallow Crescent, Spearwood",1994.0
"1 Fantail Drive, Bibra Lake",1984.0
"1 Farrington Street, Warnbro",1965.0
"1 Federal Street, Osborne Park",2002.0
"1 Felpham Court, Success",2004.0
"1 Ficarra Way, Sinagra",
"1 First Avenue, Woodbridge",1969.0
"1 Fischer Road, Darlington",1982.0
"1 Flemington Way, Redcliffe",2000.0
"1 Flint Close, Pearsall",2002.0
"1 Florey Place, Huntingdale",1986.0
"1 Floribunda Gate, Dayton",
"1 Forrest Court, Kiara",1989.0
"1 Fort Street, Morley",2006.0
"1 Fortuna View, Iluka",2010.0
"1 Fortune Street, Balcatta",1997.0
"1 Fourth Avenue, Rossmoyne",1989.0
"1 Fran Court, Merriwa",2002.0
"1 Freedman Road, Menora",1969.0
"1 Gaffin Way, Kwinana Town Centre",2015.0
"1 Gali Lane, City Beach",2012.0
"1 Galilee Way, Baldivis",2009.0
"1 Gamay Court, The Vines",2001.0
"1 Gannett Street, Bateman",1969.0
"1 Genesta Place, Two Rocks",1986.0
"1 Georges Close, Kallaroo",1989.0
"1 Gerygone Pass, Tapping",2007.0
"1 Ghost Gum Boulevard, Banksia Grove",2004.0
"1 Gianatti Ramble, East Cannington",2008.0
"1 Gidgee Cove, Kenwick",2015.0
"1 Gilchrist Avenue, Bibra Lake",1980.0
"1 Gillespie Court, Lockridge",2000.0
"1 Gillon Road, Noranda",1990.0
"1 Giudice Way, Yangebup",2009.0
"1 Glasson Way, Darch",2007.0
"1 Glebe Close, Mindarie",2001.0
"1 Glenelg Street, Mount Hawthorn",
"1 Gloucester Road, Kalamunda",1970.0
"1 Gloucester Street, Swanbourne",
"1 Gold Lane, Iluka",2005.0
"1 Gordon Place, Huntingdale",1985.0
"1 Gorman Place, Calista",2006.0
"1 Graduate Place, Marangaroo",1993.0
"1 Grahame Street, Mount Helena",1975.0
"1 Grant Street, Duncraig",2012.0
"1 Gray Road, Haynes",1993.0
"1 Green Street, Kewdale",1986.0
"1 Greygum Rise, Kenwick",1998.0
"1 Grid Court, Beldon",1983.0
"1 Grimsay Road, Ardross",1970.0
"1 Grove End Ridge, Mount Claremont",2000.0
"1 Grove Street, Shoalwater",1980.0
"1 Guy Place, Melville",
"1 Hadlow Court, Leeming",1980.0
"1 Halleendale Road, Walliston",1995.0
"1 Hamlyn Glen, Kiara",1993.0
"1 Hanrahan Loop, Kardinya",1982.0
"1 Hansen Vista, Landsdale",2006.0
"1 Hardey Road, Serpentine",1995.0
"1 Harrier Way, Beldon",1985.0
"1 Hartle Lane, Brookdale",2014.0
"1 Hartley Street, Coolbellup",1969.0
"1 Hartwell Parade, Jandakot",2002.0
"1 Harwood Street, Hilton",1953.0
"1 Hazlett Close, South Lake",1985.0
"1 Henderson Road, Stoneville",
"1 Hennessy Drive, Ashby",2005.0
"1 Henrietta Court, Coogee",1998.0
"1 Henty Court, Mirrabooka",1985.0
"1 Herbert Road, Subiaco",
"1 Heslop Road, Lesmurdie",2000.0
"1 Hewlett Turn, Tapping",2002.0
"1 Hilliger Turn, Jane Brook",2015.0
"1 Hilltop Close, Mahogany Creek",1987.0
"1 Hilltop Place, Edgewater",1987.0
"1 Hillwater Promenade, Bennett Springs",
"1 Hitek Court, Merriwa",1990.0
"1 Holmesdale Road, Woodbridge",1935.0
"1 Holywell Street, Middle Swan",2012.0
"1 Honister Close, Balga",1984.0
"1 Hood Street, Forrestfield",1984.0
"1 Hulbert Street, South Fremantle",1965.0
"1 Huntington Road, Coogee",1986.0
"1 Hydra Close, Rockingham",1970.0
"1 Hynes Road, Dalkeith",1985.0
"1 INGODA LINK, Baldivis",2013.0
"1 Ingot Lane, Harrisdale",2008.0
"1 Iona Place, Cannington",1996.0
"1 Irma Way, Butler",2006.0
"1 Ironcap Grove, Wandi",2015.0
"1 Ivythorne Grove, Kiara",1992.0
"1 Jacolite Street, Darch",2006.0
"1 Jade Grove, Edgewater",1982.0
"1 Jaffa Close, Seville Grove",1994.0
"1 Jamaican Road, Safety Bay",1980.0
"1 Jameson Street, Mosman Park",1989.0
"1 Jarrah Lane, Mount Claremont",2002.0
"1 Jaywick Close, Safety Bay",1997.0
"1 Jecks Street, Maida Vale",2003.0
"1 Jeffrey Loop, Brookdale",2014.0
"1 Jib Court, Ocean Reef",1989.0
"1 Jindabyne Street, Hilbert",
"1 Johnson Avenue, Guildford",1900.0
"1 Jolimont Terrace, Jolimont",1920.0
"1 Josbury Corner, Carramar",
"1 Jura Court, Duncraig",1980.0
"1 Jurien Close, Warnbro",1993.0
"1 Kadi Court, Marangaroo",1990.0
"1 Kalara Road, Koongamia",1955.0
"1 Kalara Way, Koongamia",2003.0
"1 Kalbarri Pass, Jane Brook",2015.0
"1 Kangaroo Entrance, Stratton",1994.0
"1 Kartner Road, Tapping",2006.0
"1 Kennack Vista, Atwell",
"1 Kensington Street, Bellevue",1999.0
"1 Kent Street, Viveash",1969.0
"1 Kevin Street, Stoneville",1980.0
"1 Kilmurray Elbow, Huntingdale",2002.0
"1 Kinkuna Way, City Beach",1974.0
"1 Kirkcolm Way, Warwick",1982.0
"1 Kirke Cove, Merriwa",2002.0
"1 Kirkstall Way, Sawyers Valley",1981.0
"1 Knaphill Heights, Mirrabooka",1989.0
"1 Kookaburra Terrace, Ballajura",1990.0
"1 Kooralbyn Way, Connolly",
"1 Kutcharo Crescent, Joondalup",1989.0
"1 Kyby Place, Carramar",2006.0
"1 Kyle Place, Swan View",1979.0
"1 Lambeth Mews, Mount Claremont",2000.0
"1 Lanark Street, Menora",1930.0
"1 Langham Street, Nedlands",2012.0
"1 Lark Court, Yangebup",
"1 Lark Mews, Ballajura",1989.0
"1 Lauder Place, Kinross",1994.0
"1 Laughton Way, Leeming",2010.0
"1 Lee Street, Forrestfield",1981.0
"1 Leigh Court, Marangaroo",
"1 Lena Street, Beckenham",1984.0
"1 Lennoxtown Road, Duncraig",1977.0
"1 Letchworth Centre Avenue, Salter Point",2003.0
"1 Librizzi Parade, Sinagra",2008.0
"1 Lilypond Court, Ascot",1995.0
"1 Lindeman Heights, Ridgewood",
"1 Linnett Brace, Darch",2009.0
"1 Lintonmarc Drive, Redcliffe",2000.0
"1 Litchfield Crescent, Carramar",2005.0
"1 Little Lefroy Lane, South Fremantle",2000.0
"1 Love Street, Myaree",2001.0
"1 Luhrs Court, Mundaring",1996.0
"1 Luke Place, Ascot",2003.0
"1 Lundy Cove, Kiara",1992.0
"1 Macdonald Road, Applecross",1966.0
"1 Mackie Place, Midvale",1998.0
"1 Maidos Street, Ashfield",1997.0
"1 MAJORELLE WAY, Eglinton",2015.0
"1 Mal Bay Court, Mindarie",1998.0
"1 Malcolm Street, North Beach",
"1 Maley Court, Ashfield",1996.0
"1 Malibu Entrance, Iluka",2003.0
"1 Malone Mews, Clarkson",1996.0
"1 Manhattan Concourse, Hilbert",2016.0
"1 Mannaw Place, Hillman",1976.0
"1 Mannix Pass, Queens Park",2002.0
"1 Marconi Street, Morley",2008.0
"1 Margaret Road, Secret Harbour",2007.0
"1 Marich Cove, Atwell",1994.0
"1 Maritana Road, Kallaroo",1978.0
"1 Marker Road, Ocean Reef",1988.0
"1 Markham Place, Bentley",1986.0
"1 Maroma Loop, Burns Beach",2012.0
"1 Martin Avenue, Rivervale",1966.0
"1 Mayhill Place, Craigie",1978.0
"1 McBain Court, Langford",1970.0
"1 Mcdermott Road, Kwinana Town Centre",2015.0
"1 McKenna Glen, Mount Claremont",1992.0
"1 McKenzie Corner, Bertram",2005.0
"1 McNairn Cross, Leda",
"1 Meadow Place, Hocking",1989.0
"1 Meares Avenue, Parmelia",2013.0
"1 Mears Way, Hilbert",2015.0
"1 Medawar Loop, Piara Waters",
"1 Melissa Street, Duncraig",1983.0
"1 Melita Drive, Helena Valley",2013.0
"1 Melrose Crescent, Menora",1955.0
"1 Mercer Place, Thornlie",1975.0
"1 Merley Crescent, City Beach",
"1 Merlot Court, The Vines",1995.0
"1 Milina Street, Hillman",1977.0
"1 Mingara Avenue, Harrisdale",2009.0
"1 Mission Place, Cooloongup",1992.0
"1 Moira Mews, Stratton",1995.0
"1 Monarch Way, Wattle Grove",2012.0
"1 Montana Crescent, Dayton",2014.0
"1 Montrose Way, Nollamara",1992.0
"1 Moody Glen, Palmyra",1998.0
"1 Moseley Drive, The Vines",2008.0
"1 Mosman Loop, Success",2010.0
"1 Mottee Road, Bateman",1982.0
"1 Mudalla Way, Koongamia",1959.0
"1 Mulberry Lane, Mirrabooka",1988.0
"1 Mulgrave Loop, Mindarie",2004.0
"1 Myhill Mews, Leda",1993.0
"1 Namoi Street, Hammond Park",2006.0
"1 Nardie Place, Hillman",1976.0
"1 Narla Place, Koongamia",1959.0
"1 Nettia Place, Bennett Springs",
"1 New Ross Lane, Waterford",2001.0
"1 Newman Place, Kenwick",1975.0
"1 Newmarket Retreat, Currambine",1998.0
"1 newquay Street, Harrisdale",2010.0
"1 Niagara Cove, Bentley",1996.0
"1 Nicholas Crescent, Hilton",1951.0
"1 Nobilis Street, Beeliar",2015.0
"1 Norfolk Rise, Mount Claremont",1992.0
"1 Northerly Avenue, Ascot",2011.0
"1 Nundah Court, Glen Forrest",
"1 Nyjong Street, Kenwick",1999.0
"1 Oakwood Court, Beechboro",1991.0
"1 Oban Court, Duncraig",1980.0
"1 Odell Court, Carine",1977.0
"1 Odell Street, Secret Harbour",2005.0
"1 Odessa Place, Beldon",
"1 Offord Street, Armadale",1977.0
"1 Ollera Meander, Carramar",
"1 Ollis Street, Safety Bay",1972.0
"1 O'Mara Boulevard, Iluka",2004.0
"1 Orange Valley Road, Kalamunda",1930.0
"1 Orsulich Loop, Spearwood",
"1 Otway Street, Swanbourne",1930.0
"1 Palos Court, Sorrento",1985.0
"1 Parish Lane, Churchlands",2003.0
"1 Park Lane, Kardinya",1990.0
"1 Parkwood Avenue, Woodvale",1992.0
"1 Peaceful Close, Marangaroo",1998.0
"1 Pearson Crescent, Bull Creek",1976.0
"1 Pedalstone Drive, Southern River",2008.0
"1 Peet Crescent, Trigg",1974.0
"1 Pelion Court, Middle Swan",2010.0
"1 Penn Lane, Hammond Park",2003.0
"1 Penson Street, Singleton",1990.0
"1 Pera Mews, Beldon",1987.0
"1 Peter Way, Rossmoyne",2013.0
"1 Piermont Avenue, Burns Beach",2008.0
"1 Pimelea Rise, Beeliar",
"1 Pixie Place, Two Rocks",2011.0
"1 Platypus Parkway, Beeliar",
"1 Plover Way, Stirling",1980.0
"1 Poinsettia Grove, South Lake",1994.0
"1 Point Link, Alkimos",2011.0
"1 Polglase Fairway, Clarkson",1998.0
"1 Portland Way, Ridgewood",2007.0
"1 Portsea Gardens, Jandakot",1998.0
"1 Presto Close, Quinns Rocks",2001.0
"1 Printer Street, Dianella",1970.0
"1 Pursuit Close, Middle Swan",1992.0
"1 Purvis Street, Hamilton Hill",1960.0
"1 Quail Place, Langford",1985.0
"1 Quenda Close, Beeliar",2000.0
"1 Ragtime Court, Ascot",1997.0
"1 Ramose Close, Heathridge",1979.0
"1 Reflection Mews, Safety Bay",2005.0
"1 Regatta Way, Alkimos",2015.0
"1 Regent Court, Cockburn Central",2001.0
"1 Reginald Street, Queens Park",2013.0
"1 Reilly Street, Singleton",1958.0
"1 Reinagle Street, Ashby",2006.0
"1 Repens Way, Banksia Grove",2006.0
"1 Reserve Street, Bicton",2000.0
"1 Retchford Way, Queens Park",2010.0
"1 Reuben Street, Beaconsfield",1960.0
"1 Riber Court, Carine",1981.0
"1 Richards Crescent, Craigie",1986.0
"1 Rigoll Court, Mundijong",1986.0
"1 Ringarooma Way, Willetton",1984.0
"1 Ringmer Way, Westminster",2007.0
"1 River Bank Boulevard, South Guildford",
"1 River Bed Pass, Wilson",1994.0
"1 Riverdale Road, Helena Valley",1994.0
"1 Robert Street, Dalkeith",1964.0
"1 Robyn Street, Morley",1964.0
"1 ROKER Way, Brabham",
"1 Romani Court, Lockridge",1999.0
"1 Rosalind Court, Rossmoyne",1970.0
"1 Rose Bay Court, Kallaroo",1992.0
"1 ROSTRATUS Link, Dayton",2015.0
"1 Rothsay Crescent, Menora",1952.0
"1 Rowe Place, Noranda",2016.0
"1 Royal Melbourne Avenue, Connolly",1990.0
"1 Royce Grove, Booragoon",1982.0
"1 Ruby Avenue, Langford",2000.0
"1 Ruby Court, Mount Richon",1987.0
"1 Rudge Place, Lockridge",1972.0
"1 Sabro Lane, Caversham",
"1 Salamanca Parkway, Port Kennedy",
"1 Salisbury Road, Beechboro",1975.0
"1 Salmond Way, Bull Creek",1990.0
