ADDRESS,NEAREST_STN
"1 Doradeen Close, Hillman",Rockingham Station
"1 Doram Court, Swan View",Midland Station
"1 Driftwood Way, Bennett Springs",Bassendean Station
"1 Driver Road, Darch",Greenwood Station
"1 Dunbar Road, Claremont",Claremont Station
"1 Durant Way, Brentwood",Bull Creek Station
"1 Dutton Way, Singleton",Mandurah Station
"1 Duxford Street, Butler",Butler Station
"1 East Street, Mount Hawthorn",Glendalough Station
"1 Eastfield Court, Ferndale",Queens Park Station
"1 Easton Court, Boya",Midland Station
"1 Edelweiss Way, Beckenham",Beckenham Station
"1 Edgecombe Pass, Aveley",Woodbridge Station
"1 El Porto Way, Iluka",Currambine Station
"1 Elfin Grove, Warnbro",Warnbro Station
"1 Elvire Street, Midland",Midland Station
"1 Empress Crescent, Atwell",Cockburn Central Station
"1 Epping Court, High Wycombe",Midland Station
"1 Ericht Pass, Kinross",Currambine Station
"1 Estevan Way, Ferndale",Queens Park Station
"1 Ethel Street, Guildford",Guildford Station
"1 Etna Place, Rossmoyne",Bull Creek Station
"1 Eudora Way, North Coogee",Fremantle Station
"1 Fairetha Court, Ascot",Bassendean Station
"1 Fairhaven Terrace, Hillarys",Whitfords Station
"1 Fallow Crescent, Spearwood",Cockburn Central Station
"1 Fantail Drive, Bibra Lake",Cockburn Central Station
"1 Farrington Street, Warnbro",Warnbro Station
"1 Federal Street, Osborne Park",Glendalough Station
"1 Felpham Court, Success",Cockburn Central Station
"1 Ficarra Way, Sinagra",Joondalup Station
"1 First Avenue, Woodbridge",Woodbridge Station
"1 Fischer Road, Darlington",Midland Station
"1 Flemington Way, Redcliffe",Bassendean Station
"1 Flint Close, Pearsall",Edgewater Station
"1 Florey Place, Huntingdale",Gosnells Station
"1 Floribunda Gate, Dayton",East Guildford Station
"1 Forrest Court, Kiara",Ashfield Station
"1 Fort Street, Morley",Meltham Station
"1 Fortuna View, Iluka",Currambine Station
"1 Fortune Street, Balcatta",Stirling Station
"1 Fourth Avenue, Rossmoyne",Bull Creek Station
"1 Fran Court, Merriwa",Clarkson Station
"1 Freedman Road, Menora",Mount Lawley Station
"1 Gaffin Way, Kwinana Town Centre",Wellard Station
"1 Gali Lane, City Beach",Swanbourne Station
"1 Galilee Way, Baldivis",Warnbro Station
"1 Gamay Court, The Vines",Midland Station
"1 Gannett Street, Bateman",Bull Creek Station
"1 Genesta Place, Two Rocks",Butler Station
"1 Georges Close, Kallaroo",Whitfords Station
"1 Gerygone Pass, Tapping",Currambine Station
"1 Ghost Gum Boulevard, Banksia Grove",Clarkson Station
"1 Gianatti Ramble, East Cannington",Beckenham Station
"1 Gidgee Cove, Kenwick",Madding
"1 Gilchrist Avenue, Bibra Lake",Murdoch Station
"1 Gillespie Court, Lockridge",Bassendean Station
"1 Gillon Road, Noranda",Bayswater Station
"1 Giudice Way, Yangebup",Cockburn Central Station
"1 Glasson Way, Darch",Whitfords Station
"1 Glebe Close, Mindarie",Clarkson Station
"1 Glenelg Street, Mount Hawthorn",West Leederville Station
"1 Gloucester Road, Kalamunda",Madding
"1 Gloucester Street, Swanbourne",Swanbourne Station
"1 Gold Lane, Iluka",Currambine Station
"1 Gordon Place, Huntingdale",Gosnells Station
"1 Gorman Place, Calista",Wellard Station
"1 Graduate Place, Marangaroo",Warwick Station
"1 Grahame Street, Mount Helena",Midland Station
"1 Grant Street, Duncraig",Greenwood Station
"1 Gray Road, Haynes",Armadale Station
"1 Green Street, Kewdale",Queens Park Station
"1 Greygum Rise, Kenwick",Madding
"1 Grid Court, Beldon",Edgewater Station
"1 Grimsay Road, Ardross",Canning Bridge Station
"1 Grove End Ridge, Mount Claremont",Claremont Station
"1 Grove Street, Shoalwater",Rockingham Station
"1 Guy Place, Melville",Bull Creek Station
"1 Hadlow Court, Leeming",Murdoch Station
"1 Halleendale Road, Walliston",Madding
"1 Hamlyn Glen, Kiara",Ashfield Station
"1 Hanrahan Loop, Kardinya",Murdoch Station
"1 Hansen Vista, Landsdale",Greenwood Station
"1 Hardey Road, Serpentine",Warnbro Station
"1 Harrier Way, Beldon",Edgewater Station
"1 Hartle Lane, Brookdale",Armadale Station
"1 Hartley Street, Coolbellup",Murdoch Station
"1 Hartwell Parade, Jandakot",Cockburn Central Station
"1 Harwood Street, Hilton",Fremantle Station
"1 Hazlett Close, South Lake",Cockburn Central Station
"1 Henderson Road, Stoneville",Midland Station
"1 Hennessy Drive, Ashby",Joondalup Station
"1 Henrietta Court, Coogee",Cockburn Central Station
"1 Henty Court, Mirrabooka",Warwick Station
"1 Herbert Road, Subiaco",Daglish Station
"1 Heslop Road, Lesmurdie",Madding
"1 Hewlett Turn, Tapping",Currambine Station
"1 Hilliger Turn, Jane Brook",Midland Station
"1 Hilltop Close, Mahogany Creek",Midland Station
"1 Hilltop Place, Edgewater",Edgewater Station
"1 Hillwater Promenade, Bennett Springs",Bassendean Station
"1 Hitek Court, Merriwa",Clarkson Station
"1 Holmesdale Road, Woodbridge",Woodbridge Station
"1 Holywell Street, Middle Swan",Midland Station
"1 Honister Close, Balga",Warwick Station
"1 Hood Street, Forrestfield",Madding
"1 Hulbert Street, South Fremantle",Fremantle Station
"1 Huntington Road, Coogee",Fremantle Station
"1 Hydra Close, Rockingham",Rockingham Station
"1 Hynes Road, Dalkeith",Claremont Station
"1 INGODA LINK, Baldivis",Warnbro Station
"1 Ingot Lane, Harrisdale",Cockburn Central Station
"1 Iona Place, Cannington",Queens Park Station
"1 Irma Way, Butler",Butler Station
"1 Ironcap Grove, Wandi",Kwinana Station
"1 Ivythorne Grove, Kiara",Ashfield Station
"1 Jacolite Street, Darch",Greenwood Station
"1 Jade Grove, Edgewater",Edgewater Station
"1 Jaffa Close, Seville Grove",Sherwood Station
"1 Jamaican Road, Safety Bay",Rockingham Station
"1 Jameson Street, Mosman Park",Vic
"1 Jarrah Lane, Mount Claremont",Loch Street Station
"1 Jaywick Close, Safety Bay",Rockingham Station
"1 Jecks Street, Maida Vale",Midland Station
"1 Jeffrey Loop, Brookdale",Armadale Station
"1 Jib Court, Ocean Reef",Edgewater Station
"1 Jindabyne Street, Hilbert",Armadale Station
"1 Johnson Avenue, Guildford",Guildford Station
"1 Jolimont Terrace, Jolimont",Daglish Station
"1 Josbury Corner, Carramar",Currambine Station
"1 Jura Court, Duncraig",Greenwood Station
"1 Jurien Close, Warnbro",Warnbro Station
"1 Kadi Court, Marangaroo",Warwick Station
"1 Kalara Road, Koongamia",Midland Station
"1 Kalara Way, Koongamia",Midland Station
"1 Kalbarri Pass, Jane Brook",Midland Station
"1 Kangaroo Entrance, Stratton",Midland Station
"1 Kartner Road, Tapping",Currambine Station
"1 Kennack Vista, Atwell",Cockburn Central Station
"1 Kensington Street, Bellevue",Midland Station
"1 Kent Street, Viveash",Midland Station
"1 Kevin Street, Stoneville",Midland Station
"1 Kilmurray Elbow, Huntingdale",Thornlie Station
"1 Kinkuna Way, City Beach",Glendalough Station
"1 Kirkcolm Way, Warwick",Warwick Station
"1 Kirke Cove, Merriwa",Butler Station
"1 Kirkstall Way, Sawyers Valley",Midland Station
"1 Knaphill Heights, Mirrabooka",Warwick Station
"1 Kookaburra Terrace, Ballajura",Maylands Station
"1 Kooralbyn Way, Connolly",Joondalup Station
"1 Kutcharo Crescent, Joondalup",Currambine Station
"1 Kyby Place, Carramar",Currambine Station
"1 Kyle Place, Swan View",Midland Station
"1 Lambeth Mews, Mount Claremont",Claremont Station
"1 Lanark Street, Menora",Leederville Station
"1 Langham Street, Nedlands",Shen
"1 Lark Court, Yangebup",Cockburn Central Station
"1 Lark Mews, Ballajura",Maylands Station
